Time(s);IntInt
1593.00;18.42
1596.00;20.17
1599.00;22.92
1602.00;20.91
1605.00;21.04
1608.00;17.47
1611.00;17.68
1614.00;20.67
1617.00;18.83
1620.00;18.40
1623.00;16.04
1626.00;19.39
1629.00;17.81
1632.00;18.07
1635.00;20.84
1638.00;19.54
1641.00;19.14
1644.00;16.69
1647.00;16.34
1650.00;20.09
1653.00;19.02
1656.00;19.01
1659.00;16.90
1662.00;15.89
1665.00;19.06
1668.00;17.07
1671.00;18.90
1674.00;16.66
1677.00;12.05
1680.00;11.81
1683.00;13.89
1686.00;14.73
1689.00;14.01
1692.00;12.06
1695.00;17.09
1698.00;16.97
1701.00;17.99
1704.00;15.66
1707.00;16.90
1710.00;17.18
1713.00;18.58
1716.00;12.35
1719.00;16.37
1722.00;16.04
1725.00;12.20
1728.00;13.38
1731.00;10.62
1734.00;11.35
1737.00;10.34
1740.00;8.42
1743.00;13.46
1746.00;14.28
1749.00;10.31
1752.00;9.62
1755.00;12.13
1758.00;12.37
1761.00;12.34
1764.00;14.47
1767.00;12.77
1770.00;11.61
1773.00;11.45
1776.00;11.04
1779.00;11.55
1782.00;10.89
1785.00;12.98
1788.00;12.96
1791.00;12.78
1794.00;10.12
1797.00;13.38
